TGL,BARANG, QTY , HARGA (RP) , VAT (11%) ,DEBIT
,Sb 15/8 kuning, 20 ," 87,000.00 ", - ," 1,740,000.00 "
8/10/2023,Klem seng, 25 ," 25,000.00 "," 68,750.00 "," 693,750.00 "
8/14/2023,Styrofoam 1.5cm x 1m x 2m, 330 ," 14,546.00 "," 528,019.80 "," 5,328,199.80 "
8/16/2023,PET 20kg hijau, 10 ," 342,343.00 "," 376,577.30 "," 3,800,007.30 "
,PET 20kg hijau, 35 ," 342,343.00 "," 1,318,020.55 "," 13,300,025.55 "
,PET 20kg hijau, 2 ," 342,343.00 "," 75,315.46 "," 760,001.46 "
,Sb 15/8 kuning, 30 ," 80,000.00 "," 264,000.00 "," 3,246,750.00 "
,Klem seng, 25 ," 21,000.00 "," 57,750.00 "," 3,246,750.00 "
,Sb 15/8 kuning eka farma, 200 ," 129,090.99 "," 2,840,001.80 "," 28,658,200.00 "
,Sb 15/8 kuning, 20 ," 95,000.00 ", - ," 1,900,000.00 "
,Styrofoam 1.5cm x 1m x 2m, 330 ," 14,546.00 "," 528,019.80 "," 5,328,199.80 "
,Pe sheet 4cm x 1m x 1m, 25 ," 77,837.00 ", - ," 2,470,245.00 "
,Pe sheet 2cm x 1m x 1m, 10 ," 40,000.00 ", - ," 2,470,245.00 "
,Pe sheet 1cm x 1m x 1m, 5 ," 24,864.00 ", - ," 2,470,245.00 "
,Pe sheet 2cm x 1m x 1m, 35 ," 40,000.00 "," 154,000.00 "," 1,554,000.00 "
8/21/2023,Pe tube dl 9cm x 2m," 1,564 "," 13,963.96 "," 2,402,360.36 "," 24,242,000.00 "
,Bubble clear 50m, 10 ," 98,000.00 ", - ," 980,000.00 "
8/22/2023,Pe foam 2mm x 200m, 100 ," 437,950.00 "," 4,817,450.00 "," 48,612,450.00 "
,Pe foam 2mm x 300m, 15 ," 665,540.54 "," 1,098,141.89 "," 11,081,250.00 "
,Sb 15/8 kuning, 10 ," 80,000.00 "," 88,000.00 "," 888,000.00 "
,Pe foam 0.5mm x 800m, 1 ," 518,018.02 "," 56,981.98 "," 575,000.00 "
,Sb 15/8 kuning, 25 ," 87,000.00 ", - ," 2,175,000.00 "
8/23/2023,Sb 15/7 kuning, 3 ," 75,000.00 "," 24,750.00 "," 1,977,753.60 "
,Sf 17mic x 50cm x 250m, 24 ," 64,865.00 "," 171,243.60 "," 1,977,753.60 "
,Pe foam 0.5mm x 800m, 5 ," 518,018.02 "," 284,909.91 "," 2,875,000.00 "
,Pe sheet 4cm x 1m x 1m, 30 ," 77,837.00 ", - ," 2,735,110.00 "
,Pe sheet 2cm x 1m x 1m, 10 ," 40,000.00 ", - ," 2,735,110.00 "
8/24/2023,Sb 12/7 kuning, 30 ," 82,000.00 "," 270,600.00 "," 2,730,600.00 "
8/26/2023,Pe sheet 4cm x 1m x 1m, 40 ," 77,837.00 "," 342,482.80 "," 3,455,962.80 "
,Pe sheet 2cm x 1m x 1m, 28 ," 40,000.00 "," 123,200.00 "," 1,243,200.00 "
,Pe sheet 4cm x 1m x 1m, 25 ," 77,837.00 "," 214,051.75 "," 2,159,976.75 "
,Pe sheet 4cm x 1m x 1m, 10 ," 77,837.00 ", - ," 778,370.00 "
,Sb 12/8 putih, 1 ," 85,000.00 "," 9,350.00 "," 94,350.00 "
8/28/2023,Opp clear 48mm x 80y, 216 ," 6,247.75 "," 148,446.54 "," 1,497,960.54 "
,Sb 15/8 kuning, 19 ," 169,800.00 "," 354,882.00 "," 3,581,082.00 "
8/29/2023,PET 20kg hijau, 12 ," 342,343.00 "," 451,892.76 "," 4,560,008.76 "
,PET 20kg hijau, 25 ," 342,343.00 "," 941,443.25 "," 9,500,018.25 "
,Opp clear 48mm x 80y, 72 ," 6,800.00 "," 53,856.00 "," 2,981,016.00 "
,Sf 17mic x 50cm x 150m, 18 ," 66,000.00 "," 130,680.00 "," 2,981,016.00 "
,Isolasi 24mm x 72y, 288 ," 3,500.00 "," 110,880.00 "," 2,981,016.00 "
8/30/2023,Pe tube dl 9cm x 2m, 200 ," 14,090.91 "," 310,000.02 "," 3,128,182.02 "
,Pe sheet 4cm x 1m x 1m, 25 ," 77,837.00 "," 214,051.75 "," 2,159,976.75 "
,Pe sheet 2cm x 1m x 1m, 20 ," 40,000.00 "," 88,000.00 "," 888,000.00 "
8/31/2023,Pe sheet 2cm x 1m x 2m, 369 ," 80,000.00 "," 3,247,200.00 "," 32,767,200.00 "
,Sb 12/8 kuning, 200 ," 85,000.00 "," 1,870,000.00 "," 18,870,000.00 "
,Edge protector, 100 ," 22,000.00 "," 242,000.00 "," 2,442,000.00 "
